Key,Strategy,Type,ROI %,Portfolio $,Net Profit $,Total Cash In,Max DD %,Calmar,Savings $,BTC Held,ETH Held,ADA Held,Rank
B3-BMOD,BTC-only Threshold Bimodal,BTC-only,117.2560,297640.6872,160640.6872,137000.0000,-39.1931,2.9918,59886.9216,3.4907,0.0000,0.0000,1
B2-MAcon,BTC-only MA-Conservative,BTC-only,110.2367,288024.3140,151024.3140,137000.0000,-40.7375,2.7060,42062.5556,3.6112,0.0000,0.0000,2
B1-DCA,BTC-only DCA $500/wk,BTC-only,64.7971,224948.0205,88448.0205,136500.0000,-46.1048,1.4054,0.0000,3.3027,0.0000,0.0000,3
P3-BMOD,Portfolio Threshold Bimodal,Portfolio,44.2661,197644.5442,60644.5442,137000.0000,-49.3803,0.8964,24354.0240,1.3963,25.3778,96070.0199,4
P2-MAcon,Portfolio MA-Conservative (x²),Portfolio,39.8237,191558.4633,54558.4633,137000.0000,-50.3174,0.7915,16857.9242,1.4445,24.8858,92766.0453,5
P4-MAlin,Portfolio MA-Linear,Portfolio,32.0194,180866.6432,43866.6432,137000.0000,-50.8082,0.6302,11534.9614,1.4504,22.3256,91608.8138,6
P1-DCA,Portfolio DCA 40/30/30,Portfolio,9.2777,149164.1272,12664.1272,136500.0000,-54.6191,0.1699,0.0000,1.3211,18.3293,80327.6837,7
